备注,%W_SWS1%,%N_P1%,%R_core_offset%,%extractor0.dz%
初始值,8.00E-03,10,-5.00E-03,0.00E+00
,8.00E-03,10,-5.00E-03,1.00E-03
,8.00E-03,10,-5.00E-03,2.00E-03
,8.00E-03,10,-5.00E-03,3.00E-03
,8.00E-03,10,-5.00E-03,4.00E-03
,8.00E-03,10,-5.00E-03,5.00E-03
,8.00E-03,10,-5.00E-03,6.00E-03
,8.00E-03,10,-5.00E-03,7.00E-03
,8.00E-03,10,-5.00E-03,8.00E-03
,8.00E-03,10,-5.00E-03,9.00E-03
,8.00E-03,10,-5.00E-03,1.00E-02
,8.00E-03,10,-5.00E-03,1.10E-02
下界,0,1,-5.00E-03,0.00E+00
上界,5.00E-02,50,7.00E-03,2.00E-02
精度,1.00E-04,1,5.00E-04,2.00E-04
计算偏微分的步长,,,,
单位步长,,,,
