备注,%driver_bunch.zsigma%
初始值,5.00E-05
,1.00E-04
,1.50E-04
,2.00E-04
,2.50E-04
,3.00E-04
,3.50E-04
,4.00E-04
,4.50E-04
,5.00E-04
,5.50E-04
,6.00E-04
,6.50E-04
,7.00E-04
,7.50E-04
,8.00E-04
,8.50E-04
,9.00E-04
,9.50E-04
,1.00E-03
,1.05E-03
,1.10E-03
,1.15E-03
,1.20E-03
,1.25E-03
,1.30E-03
,1.40E-03
,1.50E-03
,1.60E-03
,1.70E-03
,1.80E-03
,1.90E-03
,2.00E-03
,2.10E-03
,2.20E-03
,2.30E-03
,2.40E-03
,2.50E-03
,2.60E-03
,2.70E-03
,2.80E-03
,2.90E-03
,3.00E-03
下界,0
上界,3.00E-03
精度,1.00E-05
计算偏微分的步长,
单位步长,
